"행정구역별(1)",행정구역별(2),계,계,계,계,계,침엽수,침엽수,침엽수,침엽수,침엽수,활엽수,활엽수,활엽수,활엽수,활엽수,혼효림,혼효림,혼효림,혼효림,혼효림,죽림,죽림,죽림,죽림,죽림,무립목지,무립목지,무립목지,무립목지,무립목지
"경기도",안성시,24100,24100,24100,24100,23711,7870,7870,7870,7870,7088,8390,8390,8390,8390,6969,6597,6597,6597,6597,7564,0,-,0,0,0,1243,1243,1243,1243,2090
"경기도",김포시,6999,6999,6999,6999,6714,1732,1732,1732,1732,1486,2700,2700,2700,2700,1753,2049,2049,2049,2049,2809,0,-,0,0,0,518,518,518,518,666
"경기도",화성시,18931,18931,18931,18931,17350,6041,6041,6041,6041,4778,6260,6260,6260,6260,4554,4363,4363,4363,4363,5354,3,3,3,3,5,2264,2264,2264,2264,2659
"경기도",광주시,28446,28446,28446,28446,28194,5319,5319,5319,5319,4958,15629,15629,15629,15629,11516,6333,6333,6333,6333,10129,0,-,0,0,0,1165,1165,1165,1165,1591
"경기도",양주시,16327,16327,16327,16327,15972,3531,3531,3531,3531,3110,6568,6568,6568,6568,5500,4549,4549,4549,4549,5243,0,-,0,0,0,1679,1679,1679,1679,2119
"경기도",포천시,53591,53591,53591,53591,53199,14562,14562,14562,14562,13068,17915,17915,17915,17915,17912,17033,17033,17033,17033,17741,0,-,0,0,0,4081,4081,4081,4081,4478
"경기도",여주시,28837,28837,28837,28837,28420,9149,9149,9149,9149,8320,10323,10323,10323,10323,8106,6915,6915,6915,6915,8830,0,-,0,0,0,2450,2450,2450,2450,3164
"경기도",연천군,37151,37151,37151,37151,36954,6174,6174,6174,6174,5840,24334,24334,24334,24334,18530,5534,5534,5534,5534,11395,0,-,0,0,1,1109,1109,1109,1109,1188
"경기도",가평군,68497,68497,68497,68497,68332,19090,19090,19090,19090,19487,31866,31866,31866,31866,28717,15781,15781,15781,15781,17561,0,-,0,0,0,1760,1760,1760,1760,2567
"경기도",양평군,61714,61714,61714,61714,61340,19844,19844,19844,19844,20022,23767,23767,23767,23767,21143,16196,16196,16196,16196,17344,0,-,0,0,0,1907,1907,1907,1907,2831
"강원특별자치도",소계,1371643,1371643,1371643,1371643,1354948,436591,436591,436591,436591,435189,526529,526529,526529,526529,559418,372862,372862,372862,372862,323793,337,337,337,337,273,35324,35324,35324,35324,36275
"강원특별자치도",춘천시,81753,81753,81753,81753,68020,24615,24615,24615,24615,21369,32239,32239,32239,32239,26445,22763,22763,22763,22763,17970,0,0,0,0,0,2136,2136,2136,2136,2236
