20  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  21,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율,,,,,,,,2020 Forest Area and % of Forest Area by Ownership,,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
당진시,"70,548","21,841",180,110,63,47,70,"21,661",256,41,215,"21,405",30.96,Dangjin-si,,
금산군,"57,720","40,599","5,856","5,645","5,615",30,211,"34,743","2,266",68,"2,198","32,477",70.34,Geumsan-gun,,
부여군,"62,461","31,692","2,728","2,521","2,193",328,207,"28,964","1,098",765,333,"27,866",50.74,Buyeo-gun,,
서천군,"36,613","14,841",645,498,446,52,147,"14,196",860,57,803,"13,336",40.53,Seocheon-gun,,
청양군,"47,910","30,466","2,212","2,141","2,078",63,71,"28,254",524,378,146,"27,730",63.59,Cheongyang-gun,,
홍성군,"44,670","18,834",470,408,333,75,62,"18,364",542,37,505,"17,822",42.16,Hongseong-gun,,
예산군,"54,266","23,225","1,636","1,533","1,508",25,103,"21,589",774,29,745,"20,815",42.80,Yesan-gun,,
태안군,"51,598","21,708",711,500,420,80,211,"20,997","3,825","3,465",360,"17,172",42.07,Taean-gun,,
전라북도,"806,984","440,746","103,117","96,385","93,707","2,678","6,732","337,629","31,460","12,605","18,855","306,169",54.62,Jeollabuk-do,,
전주시,"20,604","6,109",915,708,698,10,207,"5,194",134,93,41,"5,060",29.65,Jeonju-si,,
군산시,"39,727","7,996",720,613,586,27,107,"7,276",501,62,439,"6,775",20.13,Gunsan-si,,
익산시,"50,655","11,850",771,364,297,67,407,"11,079",408,52,356,"10,671",23.39,Iksan-si,,
정읍시,"69,307","32,142","4,777","4,604","4,543",61,173,"27,365",633,126,507,"26,732",46.38,Jeongeup-si,,
남원시,"75,221","46,604","12,104","11,852","11,843",9,252,"34,500","1,810",488,"1,322","32,690",61.96,Namwon-si,,
김제시,"54,587","9,045",434,379,352,27,55,"8,611",161,21,140,"8,450",16.57,Gimje-si,,
완주군,"82,111","58,592","14,135","13,737","13,719",18,398,"44,457","5,700","4,362","1,338","38,757",71.36,Wanju-gun,,
